Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Campo Grande;1;0;0;40;550.0;;
Catete;1;0;0;42;1000.0;530.0;
Del Castilho;1;0;0;40;1100.0;;
Centro;1;0;0;23;650.0;439.0;25.0
Senador Vasconcelos;1;1;0;80;690.0;;
Santa Teresa;1;0;0;25;850.0;370.0;14.0
Copacabana;1;0;0;41;900.0;700.0;
Cachambi;1;1;0;54;900.0;500.0;39.0
Barra da Tijuca;1;1;0;42;850.0;762.0;40.0
Centro;1;0;0;28;900.0;172.0;24.0
Campo Grande;1;0;0;40;500.0;;
Flamengo;1;0;0;50;1050.0;800.0;70.0
Tijuca;1;1;0;50;1100.0;567.0;20.0
Copacabana;1;0;0;26;1000.0;415.0;56.0
Centro;1;0;0;46;850.0;550.0;45.0
Campo Grande;1;0;0;55;500.0;;
Copacabana;1;0;0;17;800.0;520.0;17.0
Copacabana;1;0;0;41;1100.0;640.0;68.0
Centro;1;0;0;25;800.0;350.0;20.0
Encantado;1;1;0;45;900.0;496.0;
Botafogo;1;0;0;26;1100.0;270.0;
Marechal Hermes;1;1;0;48;600.0;155.0;
Tijuca;1;0;1;40;1100.0;390.0;25.0
Vila Isabel;1;0;0;30;1100.0;385.0;21.0
Méier;1;0;0;60;900.0;582.0;20.0
Vila da Penha;1;0;0;35;800.0;;
Gardênia Azul;1;0;0;30;705.0;;
Vila Isabel;1;0;0;30;1100.0;400.0;
Copacabana;1;0;0;25;900.0;270.0;
Vila Isabel;1;0;0;60;800.0;303.0;25.0
Santa Teresa;1;0;0;27;900.0;340.0;
Penha;1;0;0;45;900.0;;
Centro;1;0;0;30;700.0;450.0;25.0
Glória;1;0;0;30;1000.0;500.0;20.0
Centro;1;0;0;32;1100.0;400.0;22.0
Centro;1;0;0;20;850.0;390.0;24.0
Senador Vasconcelos;1;1;1;50;800.0;180.0;
Freguesia (Jacarepaguá);1;1;0;60;950.0;583.0;140.0
Madureira;1;1;0;45;750.0;30.0;
Centro;1;0;0;28;780.0;420.0;24.0
Copacabana;1;0;0;25;750.0;496.0;29.0
Higienópolis;1;0;0;45;700.0;;25.0
Engenho Novo;1;0;1;40;500.0;456.0;36.0
Freguesia (Jacarepaguá);1;1;0;48;1000.0;450.0;
Ricardo de Albuquerque;1;0;0;25;350.0;;
Paquetá;1;0;0;50;1100.0;;7.0
Centro;1;0;0;25;780.0;350.0;20.0
Praça da Bandeira;1;0;0;22;800.0;130.0;25.0
Botafogo;1;0;0;24;1000.0;500.0;30.0
Senador Vasconcelos;1;0;0;50;500.0;;
Centro;1;0;0;30;900.0;435.0;80.0
Anil;1;0;0;52;1000.0;;
Barra da Tijuca;1;1;1;44;1000.0;790.0;15.0
Inhaúma;1;0;0;40;550.0;;
Rocha Miranda;1;0;0;28;800.0;;
Centro;1;0;0;40;1000.0;383.0;25.0
Riachuelo;1;0;1;40;1100.0;229.0;
Campo Grande;1;1;0;50;800.0;;
Copacabana;1;0;0;30;1000.0;600.0;56.0
Catumbi;1;0;0;40;1000.0;146.0;
Freguesia (Jacarepaguá);1;1;0;56;700.0;770.0;18.0
Copacabana;1;0;0;28;1000.0;350.0;
Tanque;1;0;0;75;1100.0;625.0;14.0
Vila da Penha;1;0;0;42;600.0;210.0;
Catete;1;0;0;26;1000.0;405.0;
Vicente de Carvalho;1;0;0;33;500.0;;17.0
Centro;1;0;0;27;600.0;420.0;89.0
Méier;1;0;0;40;600.0;250.0;13.0
Vaz Lobo;1;0;0;60;600.0;92.0;33.0
Gardênia Azul;1;0;0;20;500.0;;
Campo Grande;1;0;0;35;500.0;;
Vila da Penha;1;0;0;30;650.0;;
Jardim Guanabara;1;1;0;35;1000.0;171.0;25.0
Campo Grande;1;0;0;40;480.0;;
Olaria;1;0;0;25;790.0;;
Centro;1;0;0;35;900.0;400.0;170.0
Riachuelo;1;1;0;46;950.0;550.0;16.0
Quintino Bocaiúva;1;0;1;45;750.0;1.0;
Botafogo;1;0;0;21;980.0;445.0;30.0
Centro;1;0;0;22;800.0;450.0;254.0
Botafogo;1;0;0;25;1000.0;366.0;50.0
Méier;1;1;0;40;900.0;456.0;20.0
Cascadura;1;0;0;23;750.0;;
Catete;1;0;0;24;1100.0;400.0;30.0
Guadalupe;1;0;0;35;450.0;;
Pechincha;1;0;0;40;900.0;;13.0
Penha;1;0;0;40;850.0;;
Oswaldo Cruz;1;0;0;35;650.0;;
Campinho;1;0;0;35;700.0;66.0;
Centro;1;0;0;33;1150.0;370.0;20.0
Flamengo;1;0;0;40;1000.0;490.0;
Centro;1;0;0;35;1000.0;335.0;25.0
Guadalupe;1;0;0;25;450.0;;
Copacabana;1;0;0;35;1130.0;500.0;
Penha;1;1;0;60;850.0;314.0;
São Francisco Xavier;1;0;0;51;700.0;505.0;
Catete;1;0;0;31;1100.0;434.0;55.0
Tijuca;1;1;0;60;900.0;556.0;24.0
Centro;1;0;0;30;800.0;250.0;25.0
Cachambi;1;0;0;40;800.0;130.0;14.0
Flamengo;1;0;0;21;900.0;455.0;29.0
Praça Seca;1;0;0;60;750.0;30.0;
Bonsucesso;1;0;0;30;800.0;;
Tijuca;1;0;0;40;1100.0;500.0;20.0
Quintino Bocaiúva;1;1;0;39;600.0;354.0;
Campo Grande;1;0;0;50;500.0;;
Lins de Vasconcelos;1;1;0;62;900.0;500.0;
Flamengo;1;1;0;35;1000.0;490.0;
Copacabana;1;0;0;20;1150.0;450.0;71.0
Jacarepaguá;1;0;0;45;590.0;70.0;
Flamengo;1;0;0;36;1000.0;495.0;55.0
Centro;1;0;0;25;800.0;350.0;10.0
Lapa;1;0;0;26;850.0;366.0;25.0
Bento Ribeiro;1;1;0;50;900.0;;
Vila Isabel;1;0;0;45;1000.0;350.0;20.0
Guadalupe;1;0;0;33;500.0;;
Campo Grande;1;1;0;55;750.0;517.0;
Copacabana;1;0;0;31;1100.0;397.0;67.0
Centro;1;0;0;36;850.0;600.0;
Taquara;1;0;0;60;1000.0;;
Glória;1;0;0;29;900.0;335.0;24.0
Engenho Novo;1;0;0;46;1100.0;500.0;
Laranjeiras;1;0;0;24;900.0;415.0;29.0
Guadalupe;1;0;0;45;700.0;;
Realengo;1;0;0;60;650.0;;
Vila da Penha;1;0;0;40;800.0;;
Glória;1;0;0;30;1000.0;357.0;
Madureira;1;0;0;40;600.0;;
Taquara;1;1;0;55;700.0;406.0;
Ramos;1;0;0;25;680.0;;
Taquara;1;0;0;50;800.0;;13.0
Todos os Santos;1;0;0;70;800.0;656.0;39.0
Rocha Miranda;1;0;0;65;650.0;;
Centro;1;0;0;35;850.0;480.0;9.0
Campo Grande;1;0;0;50;700.0;;
Tijuca;1;1;0;35;900.0;335.0;20.0
Copacabana;1;0;0;36;1100.0;805.0;70.0
Guadalupe;1;0;0;40;650.0;;10.0
Botafogo;1;0;0;14;850.0;366.0;25.0
Tijuca;1;1;1;40;1000.0;594.0;
Tijuca;1;0;0;58;1100.0;408.0;
Vila da Penha;1;0;0;37;700.0;50.0;
Cordovil;1;0;0;30;400.0;;
Vila da Penha;1;0;0;25;550.0;;
Higienópolis;1;0;0;45;800.0;;
